PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,65 and over,41,27.83038
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,All age bands,2889,2736.86851
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,Under 25,132,122.5
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,25 to 34,842,796.46875
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,35 to 44,1029,969.46268
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,45 to 54,626,613.55696
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,55 to 64,248,225.22013
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 4,65 and over,12,9.65999
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,All age bands,10912,10441.2079
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,Under 25,378,374.57333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,25 to 34,2804,2707.95444
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,35 to 44,4083,3871.31854
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,45 to 54,2627,2565.92113
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,55 to 64,997,907.03007
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 5,65 and over,23,14.41039
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,All age bands,3358,3270.50134
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,Under 25,16,16.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,25 to 34,547,531.59709
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,35 to 44,1340,1298.02225
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,45 to 54,1161,1145.21932
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,55 to 64,291,277.70268
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 6,65 and over,3,1.96
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,All age bands,806,788.07107
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,25 to 34,74,73.15867
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,35 to 44,323,315.18333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,45 to 54,322,318.3888
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,55 to 64,84,79.54027
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 7,65 and over,3,1.8
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8a,All age bands,95,93.23066
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8a,25 to 34,10,10.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8a,35 to 44,25,25.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8a,45 to 54,49,47.73066
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8a,55 to 64,11,10.5
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8b,All age bands,73,73.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8b,25 to 34,2,2.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8b,35 to 44,26,26.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8b,45 to 54,45,45.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8c,All age bands,17,17.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8c,35 to 44,7,7.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8c,45 to 54,10,10.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8d,All age bands,2,2.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8d,45 to 54,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Band 8d,55 to 64,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,All age bands,25,18.97208
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,35 to 44,8,3.66732
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,45 to 54,4,3.2
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,55 to 64,13,12.10476
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,All age bands,139883,121305.38774
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,Under 25,8237,8143.58552
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,25 to 34,41389,38440.31809
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,35 to 44,38045,31244.45527
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,45 to 54,35278,29850.74437
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,55 to 64,15904,13086.126
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,65 and over,1030,540.15849
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,All age bands,7004,5917.65998
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,Under 25,670,647.42162
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,25 to 34,1872,1651.48563
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,35 to 44,1709,1361.38607
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,45 to 54,1780,1494.9073
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,55 to 64,901,722.92719
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,65 and over,72,39.53217
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,All age bands,26544,24302.03879
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,Under 25,5749,5697.60617
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,25 to 34,9566,9015.908
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,35 to 44,5545,4839.51715
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,45 to 54,4114,3552.22281
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,55 to 64,1439,1131.54922
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,65 and over,131,65.23544
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,All age bands,44511,37730.28281
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,Under 25,1712,1675.90412
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,25 to 34,16496,15197.72849
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,35 to 44,11199,8994.26476
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,45 to 54,9930,8012.81261
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,55 to 64,4780,3676.8154
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,65 and over,394,172.75743
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,All age bands,36909,30575.26026
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,Under 25,67,62.55667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,25 to 34,10167,9140.97894
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,35 to 44,11355,8882.26371
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,45 to 54,10628,8671.12847
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,55 to 64,4496,3699.07418
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,65 and over,196,119.25829
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,All age bands,14182,11997.94514
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,Under 25,1,1.0
